Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
24-April-2012,275,275,268.05,270.85,542.4520732,58798,1605,31895097,12414,21.11,13.9,-8.3,
25-April-2012,273,274.625,269.1,273.45,543.8258105,131954,3096,71759991,47211,35.78,11.05,0.9,
26-April-2012,272.5,274.975,269.05,270.275,544.1328422,51580,1432,28066372,16448,31.89,11.85,-4.45,
27-April-2012,271.95,273,267.25,270.275,540.4701183,63718,1579,34437675,17074,26.8,11.5,-3.35,
28-April-2012,271.3,272.475,271,271.575,543.2617284,5670,143,3080294,2732,48.18,2.95,0.55,
30-April-2012,274.85,274.85,270.05,271.1,543.7893984,52445,1493,28519035,19706,37.57,9.6,-7.5,
2-May-12,271,275.725,271,274.9,548.8345118,140578,2401,77154058,88006,62.6,9.45,7.8,
3-May-12,275,278.475,272.95,276.275,553.9417027,218312,3468,120932121,103349,47.34,11.05,2.55,
4-May-12,276,276.65,267.25,268.375,542.1288605,80591,2189,43690707,28900,35.86,18.8,-15.25,
7-May-12,265,267.325,258.125,266.075,525.9657481,205565,3607,108120149,90661,44.1,18.4,2.15,
8-May-12,267.1,268.225,256.5,257.725,522.5092437,97580,2765,50986452,35060,35.93,23.45,-18.75,
9-May-12,257.5,261.375,253.275,256.225,514.4592762,121354,3548,62431691,25822,21.28,16.2,-2.55,
10-May-12,255.275,260.9,255.15,258.375,517.7296499,165859,3323,85870122,64698,39.01,11.5,6.2,
11-May-12,257.975,259.4,253.6,255.4,514.2523466,260055,3785,133733894,116332,44.73,11.6,-5.15,
14-May-12,255.5,256,247.25,250.25,502.19004,129257,3509,64911578,28072,21.72,17.5,-10.5,
15-May-12,248.25,252.5,248,249.525,500.9071674,133186,2940,66713822,64763,48.63,9,2.55,
16-May-12,248,249.4,243,247.575,492.3722546,323045,5211,159058395,187413,58.01,12.8,-0.85,
17-May-12,247.9,253.2,247.5,248.675,501.6324443,80347,2243,40304662,22498,28,11.4,1.55,
18-May-12,247.5,252,244.75,250.225,495.4695546,110920,2266,54957483,46003,41.47,14.5,5.45,
21-May-12,250.5,253.5,246.775,248.725,500.398762,62037,1751,31043238,30399,49,13.45,-3.55,
22-May-12,252,252.475,243.5,244.525,493.6940407,92326,1745,45580796,43710,47.34,17.95,-14.95,
23-May-12,245.525,246.45,241.15,243.5,486.7805809,85977,2144,41851934,28124,32.71,10.6,-4.05,
24-May-12,245,251.175,243.525,249.525,495.7912055,94332,2599,46768976,13744,14.57,15.3,9.05,
25-May-12,249.825,251.75,248.125,250.175,499.9768032,157177,2620,78584854,98444,62.63,7.25,0.7,
28-May-12,249.5,254.475,249.5,253.975,505.1257039,59664,1598,30137820,21344,35.77,9.95,8.95,
29-May-12,256,256,251,252.3,507.2607357,61710,1902,31303060,13405,21.72,10,-7.4,
30-May-12,251,252.4,248.275,250.325,500.8122382,48226,1202,24152171,16965,35.18,8.25,-1.35,
31-May-12,250.5,254.325,247.75,252.975,501.660579,191535,1959,96085559,136532,71.28,13.15,4.95,
1-Jun-12,254.025,254.025,245,245.725,496.3095306,111598,2004,55387151,69816,62.56,18.05,-16.6,
4-Jun-12,244,249.775,242.55,248.4,490.0998016,124487,2505,61011054,71885,57.74,14.45,8.8,
